ARK | Intel® Product Specification Comparison
01/24/2024 10:43:55 AM
 ,Intel® Core™ i7-1375PRE Processor ,Intel® Core™ i7-1366URE Processor ,Intel® Core™ i7-1365URE Processor ,Intel® Core™ i5-1345URE Processor ,Intel® Core™ i3-1315URE Processor ,Intel® Core™ i9 processor 14900HX ,Intel® Core™ i7 processor 14650HX ,Intel® Core™ i7 processor 14700HX ,Intel® Core™ i5 processor 14450HX ,Intel® Core™ i5 processor 14500HX ,Intel® Core™ i9 processor 14900K ,Intel® Core™ i3 processor 14100 ,Intel® Core™ i3 processor 14100T ,Intel® Core™ 3 processor 100U ,Intel® Core™ i5 processor 14400F ,Intel® Core™ i5 processor 14600KF ,Intel® Core™ i5 processor 14500T ,Intel® Core™ i7 processor 14700 ,Intel® Core™ i5 processor 14600T ,Intel® Core™ i7 processor 14700K ,Intel® Core™ i5 processor 14500 ,Intel® Core™ i3 processor 14100F ,Intel® Core™ i9 processor 14900KF ,Intel® Core™ i5 processor 14400 ,Intel® Core™ i7 processor 14700KF ,Intel® Core™ i5 processor 14400T ,Intel® Core™ i9 processor 14900T ,Intel® Core™ i9 processor 14900 ,Intel® Core™ i7 processor 14700T ,Intel® Core™ 7 processor 150U ,Intel® Core™ 5 processor 120U ,Intel® Core™ i5 processor 14600K ,Intel® Core™ i5 processor 14600 ,Intel® Core™ i9 processor 14900F ,Intel® Core™ i7 processor 14700F ,Intel® Core™ 3 processor 100U ,Intel® Core™ Duo Processor L2400 ,Intel® Core™ Duo Processor T2500 ,Intel® Core™ Duo Processor U2500 ,Intel® Core™2 Duo Processor E6300 ,Intel® Core™2 Duo Processor E6400 ,Intel® Core™2 Duo Processor E6600 ,Intel® Core™2 Duo Processor E6700 ,Intel® Core™2 Duo Processor T7400 ,Intel® Core™2 Duo Processor T7600 ,Intel® Core™2 Extreme Processor X6800 ,Intel® Core™2 Duo Processor E4300 ,Intel® Core™2 Duo Processor L7200 ,Intel® Core™2 Duo Processor L7400 ,Intel® Core™2 Extreme Processor QX6700 ,Intel® Core™2 Duo Processor E4400 ,Intel® Core™2 Duo Processor E6320 ,Intel® Core™2 Duo Processor E6420 ,Intel® Core™2 Duo Processor L7300 ,Intel® Core™2 Duo Processor L7500 ,Intel® Core™2 Duo Processor T7100 ,Intel® Core™2 Duo Processor T7300 ,Intel® Core™2 Duo Processor T7500 ,Intel® Core™2 Duo Processor T7700 ,Intel® Core™2 Duo Processor U7500 ,Intel® Core™2 Duo Processor U7600 ,Intel® Core™2 Quad Processor Q6600 ,Intel® Core™2 Extreme Processor QX6800 ,Intel® Core™2 Duo Processor E4500 ,Intel® Core™2 Duo Processor E6540 ,Intel® Core™2 Duo Processor E6550 ,Intel® Core™2 Duo Processor E6750 ,Intel® Core™2 Duo Processor E6850 ,Intel® Core™2 Extreme Processor X7800 ,Intel® Core™2 Extreme Processor QX6850 ,Intel® Core™2 Quad Processor Q6700 ,Intel® Core™2 Duo Processor T7250 ,Intel® Core™2 Duo Processor T7800 ,Intel® Core™2 Extreme Processor X7900 ,Intel® Core™2 Solo Processor U2100 ,Intel® Core™2 Solo Processor U2200 ,Intel® Core™2 Duo Processor E4600 ,Intel® Core™2 Duo Processor L7700 ,Intel® Core™2 Duo Processor T8300 ,Intel® Core™2 Duo Processor E8200 ,Intel® Core™2 Duo Processor E8400 ,Intel® Core™2 Duo Processor E8500 ,Intel® Core™2 Duo Processor T5750 ,Intel® Core™2 Duo Processor T8100 ,Intel® Core™2 Duo Processor T9300 ,Intel® Core™2 Duo Processor T9500 ,Intel® Core™2 Duo Processor U7700 ,Intel® Core™2 Extreme Processor QX9650 ,Intel® Core™2 Quad Processor Q9300 ,Intel® Core™2 Quad Processor Q9450 ,Intel® Core™2 Quad Processor Q9550 ,Intel® Core™2 Duo Processor E4700 ,Intel® Core™2 Duo Processor E8190 ,Intel® Core™2 Extreme Processor X9000 ,Intel® Core™2 Extreme Processor QX9770 ,Intel® Core™2 Extreme Processor QX9775 ,Intel® Core™2 Duo Processor E8300 ,Intel® Core™2 Duo Processor T5670 ,Intel® Core™2 Duo Processor E7200 ,Intel® Core™2 Quad Processor Q9400 ,Intel® Core™2 Quad Processor Q9650 ,Intel® Core™2 Extreme Processor X9100 ,Intel® Core™2 Duo Processor T9400 ,Intel® Core™2 Duo Processor T9600 ,Intel® Core™2 Duo Processor P9500 ,Intel® Core™2 Duo Processor P8600 ,Intel® Core™2 Duo Processor P8400 ,Intel® Core™2 Duo Processor E8600 ,Intel® Core™2 Duo Processor E7300 ,Intel® Core™2 Solo Processor ULV SU3300 ,Intel® Core™2 Duo Processor P7350 ,Intel® Core™2 Duo Processor U7500 ,Intel® Core™2 Quad Processor Q9100 
OpenCL* Support,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,3.0,3.0,3.0,3.0,,,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Multi-Format Codec Engines,2,2,2,2,1,2,1,2,1,2,2,1,1,1,,,2,2,2,2,2,,,1,,1,2,2,2,2,2,2,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Quick Sync Video,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
# of Displays Supported ‡,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,4,4,4,4,4,,,4,,4,4,4,4,4,4,4,4,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Device ID,0xA7A0,0xA7A1,0xA7A1,0xA7A1,0xA7A9,0xA788,0xA788,0xA788,0xA78B,0xA78B,0xA780,0x4692,0x4692,0xA7AD,,,0x4680,0xA780,0xA780,0xA780,0x4680,,,0x4682/0xA782,,0x4682,0xA780,0xA780,0xA780,0xA7AC,0xA7AC,0xA780,0xA780,,,0xA7AD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graphics Base Frequency,,,,,,,,,,,300 MHz,,,,,,,300 GHz,300 MHz,300 MHz,,,,,,,300 MHz,300 MHz,300 GHz,,,300 MHz,300 MHz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Clear Video HD Technology,,,,,,,,,,,Yes,Yes,Yes,,,,Yes,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Expansion Options
Intel® Thunderbolt™ 4,Yes,Yes,Yes,Yes,Yes,,,,,,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microprocessor PCIe Revision,Gen 4,Gen 4,Gen 4,Gen 4,Gen 4,,,,,,,,,Gen 4,,,,,,,,,,,,,,,,Gen 4,Gen 4,,,,,Gen 4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipset / PCH PCIe Revision,Gen 3,Gen 3,Gen 3,Gen 3,Gen 3,,,,,,,,,Gen 3,,,,,,,,,,,,,,,,Gen 3,Gen 3,,,,,Gen 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max # of PCI Express Lanes,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Direct Media Interface (DMI) Revision,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,4.0,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Max # of DMI Lanes,,,,,,8,8,8,8,8,8,8,8,,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,,,8,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scalability,,,,,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,1S Only,,,1S Only,1S Only,1S Only,1S Only,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCI Express Revision,,,,,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,5.0 and 4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PCI Express Configurations ‡,,,,,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,Up to 1x16+4 |  2x8+4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Package Specifications
Max CPU Configuration,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TJUNCTION,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,,,,100°C,100°C,,,100°C,100°C,,,,,100°C,100°C,100°C,100°C,100°C,100°C,100°C,100°C,,,,,,,,100°C,,,100°C,100°C,100°C,100°C,100°C,,100°C,105°C,,,,85°C,105°C,105°C,105°C,100°C,,,,,,,105°C,,,,100°C,,,,105°C,105°C,105°C,105°C,105°C,105°C,,,100°C,,100°C,100°C
Package Size,50 mm x 25 mm,50mm x25mm,50mm x25mm,50mm x25mm,50mm x25mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50mm x25mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50mm x25mm,50mm x25mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,45.0 mm x 37.5 mm,50mm x25mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,37.5mm x 37.5mm,35 mm x 35mm,35mm x 35mm,35mm x 35mm,35mm x 35mm,35 mm x 35mm,35 mm x 35mm,37.5mm x 37.5mm,37.5mm x 37.5mm,22mm x 22mm,35mm x 35mm,,35mm x 35mm
Sockets Supported,,FCBGA1744,FCBGA1744,FCBGA1744,FCBGA1744,FCBGA1964,FCBGA1964,FCBGA1964,FCBGA1964,FCBGA1964,FCLGA1700,FCLGA1700,FCLGA1700,FCBGA1744,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,FCBGA1744,FCBGA1744,FCLGA1700,FCLGA1700,FCLGA1700,FCLGA1700,,PBGA479,PBGA479 | PPGA478,PBGA479,LGA775 | PLGA775,LGA775 | PLGA775,PLGA775,PLGA775,PBGA479 | PPGA478,PBGA479 | PPGA478,PLGA775,LGA775,PBGA479,PBGA479,LGA775,LGA775,PLGA775,PLGA775,PBGA479,PBGA479,PBGA479 | PPGA478,PBGA479 | PPGA478,PBGA479 | PPGA478,PBGA479 | PPGA478,PBGA479,PBGA479,LGA775,LGA775,LGA775,PLGA775,PLGA775,PLGA775,PLGA775,PPGA478,LGA775,LGA775,PBGA479 | PPGA478,PBGA479 | PPGA478,PPGA478,,,LGA775,,BGA479 | PGA478,LGA775,LGA775,LGA775,,BGA479 | PGA478,BGA479 | PGA478,BGA479 | PBGA479 | PGA478 | PPGA478,,LGA775,LGA775,LGA775,LGA775,PLGA775,LGA775,PGA478,LGA775,LGA771,LGA775,,LGA775,LGA775,LGA775,PGA478,BGA479 | BGA956 | PBGA479 | PGA478,BGA479 | BGA956 | PBGA479 | PGA478,BGA479 | PBGA479 | PGA478,BGA479 | PBGA479 | PGA478,BGA479 | PBGA479 | PGA478,LGA775,LGA775,BGA956,BGA479 | PGA478,PBGA479,PGA478
Thermal Solution Specification,,,,,,,,,,,PCG 2020A,PCG 2020C,PCG 2020D,,PCG 2020C,PCG 2020A,PCG 2020D,PCG 2020C,PCG 2020D,PCG 2020A,PCG 2020C,PCG 2020C,PCG 2020A,PCG 2020C,PCG 2020A,PCG 2020D,PCG 2020D,PCG 2020C,PCG 2020D,,,PCG 2020A,PCG 2020C,PCG 2020C,PCG 2020C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Processing Die Size,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90 mm2,90 mm2,90 mm2,111 mm2,111 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,111 mm2,143 mm2,143 mm2,286 mm2,111 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,286 mm2,286 mm2,111 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,286 mm2,286 mm2,143 mm2,143 mm2,143 mm2,143 mm2,143 mm2,111 mm2,143 mm2,107 mm2,107 mm2,107 mm2,107 mm2,143 mm2,107 mm2,107 mm2,107 mm2,143 mm2,214 mm2,164 mm2,214 mm2,214 mm2,111 mm2,107 mm2,107 mm2,214 mm2,214 mm2,107 mm2,143 mm2,82 mm2,164 mm2,214 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,107 mm2,82 mm2,107 mm2,107 mm2,143 mm2,214 mm2
# of Processing Die Transistors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,151 million,151 million,151 million,167 million,167 million,291 million,291 million,291 million,291 million,291 million,167 million,291 million,291 million,582 million,167 million,291 million,291 million,291 million,291 million,291 million,291 million,291 million,291 million,291 million,291 million,582 million,582 million,167 million,291 million,291 million,291 million,291 million,291 million,582 million,582 million,291 million,291 million,291 million,291 million,291 million,167 million,291 million,410 million,410 million,410 million,410 million,291 million,410 million,410 million,410 million,291 million,820 million,456 million,820 million,820 million,167 million,410 million,410 million,820 million,820 million,410 million,291 million,228 million,456 million,820 million,410 million,410 million,410 million,410 million,410 million,410 million,410 million,228 million,410 million,410 million,291 million,820 million
TCASE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.4°C,61.4°C,60.1°C,60.1°C,,,60.4°C,61.4°C,,,64.5°C,L2=61.4°C |  M0=73.3°C,60.1°C,60.1°C,,,,,,,,,B3=62.2°C; G0=71°C,64.5°C,73.3°C,72°C,72°C,72°C,72°C,,64.5°C,62.2°C,,,,,,73.3°C,,,72.4°C,72.4°C,72.4°C,,,,,,64.5°C,71.4°C,71.4°C,71.4°C,73.3°C,72.4°C,,55.5°C,63°C,72.4°C,,74.1°C,71.4°C,71.4°C,,,,,,,72.4°C,74.1°C,,,,

Advanced Technologies
Intel® Time Coordinated Computing (Intel® TCC)‡,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Gaussian & Neural Accelerator,3.0,3,3,3,3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Thread Director,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Image Processing Unit,6.0,6.0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,6.0,6.0,,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Smart Sound Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Wake on Voice,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® High Definition Audio,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,Yes,,,,,,,,,,,,,,,,Yes,Yes,,,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIPI SoundWire*,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2,,,,1.2,,,,,,,,,,,,,,,,1.2,1.2,,,,,1.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Deep Learning Boost (Intel® DL Boost) on CPU,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Speed Shift Technology,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intel® Hyper-Threading Technology ‡,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No
Instruction Set,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,32-bit,32-bit,32-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit,64-bit
